num_agents,fault_count,success,duration,total_distance,avg_distance,gini_index,reallocation_time,cost_efficiency,recovery_count,crashed_count,total_bids,bids_per_auction,wasted_attempts,map_coverage,scenario_tag,scenario,trial
8,2,True,433.8,698.3440361606631,87.29300452008289,0.25,16.02083333333333,2.292096774193549,22,0,13944,8.0,0,90.625,Fault_2,FaultTolerance,13
8,2,True,149.8,275.19605196834857,34.39950649604357,0.25,0.0,2.152727272727273,0,0,5544,8.0,0,21.875,Fault_2,FaultTolerance,14
8,2,True,430.3666666666667,538.8855224476499,67.36069030595624,0.3108108108108108,30.073697916666664,2.283333333333334,11,1,13240,8.0,2,54.6875,Fault_2,FaultTolerance,15
8,2,True,422.95,641.64070191477,80.20508773934625,0.25,16.464374999999997,2.2413793103448283,15,0,14064,8.0,1,79.6875,Fault_2,FaultTolerance,16
8,2,True,117.15,233.8303358617248,29.2287919827156,0.25,0.0,2.113125,0,0,3360,8.0,0,12.5,Fault_2,FaultTolerance,17
8,2,True,197.25,348.78162506042844,43.597703132553555,0.25,0.0,2.2215625,0,0,8544,8.0,0,37.5,Fault_2,FaultTolerance,18
8,2,True,44.78333333333333,113.19867872586373,14.149834840732966,0.0,0.0,2.0,0,0,0,0.0,0,0.0,Fault_2,FaultTolerance,19
8,2,True,108.41666666666667,210.42648605023365,26.303310756279206,0.25,0.0,2.106,0,0,2968,8.0,0,10.9375,Fault_2,FaultTolerance,20
8,2,True,147.68333333333334,265.8166754566081,33.22708443207601,0.25,0.0,2.166363636363636,0,0,5544,8.0,0,21.875,Fault_2,FaultTolerance,21
8,2,True,34.233333333333334,86.78758075869379,10.848447594836724,0.0,0.0,2.0,0,0,0,0.0,0,0.0,Fault_2,FaultTolerance,22
8,2,True,435.15,624.8590631391785,78.10738289239731,0.255,61.08946078431374,2.320714285714286,9,1,14240,8.0,1,76.5625,Fault_2,FaultTolerance,23
8,2,True,569.0666666666667,715.2361242719817,89.40451553399771,0.2627118644067797,26.597833333333334,2.3125396825396827,23,0,14784,8.0,2,89.0625,Fault_2,FaultTolerance,24
8,2,True,169.01666666666668,307.77109628981174,38.47138703622647,0.25735294117647056,0.0,2.164,0,0,6528,8.0,0,26.5625,Fault_2,FaultTolerance,25
8,2,True,78.13333333333334,165.38407276518498,20.673009095648123,0.25,0.0,2.096428571428571,0,0,2568,8.0,0,9.375,Fault_2,FaultTolerance,26
8,2,True,166.78333333333333,297.29289272515456,37.16161159064432,0.2638888888888889,0.0,2.161923076923077,0,0,6840,8.0,0,28.125,Fault_2,FaultTolerance,27
8,2,True,259.18333333333334,428.86135249792426,53.60766906224053,0.25,0.0,2.2248648648648652,0,0,10544,8.0,0,46.875,Fault_2,FaultTolerance,28
8,2,True,177.7,315.61817696942956,39.452272121178694,0.25,0.0,2.2100000000000004,0,0,7440,8.0,0,31.25,Fault_2,FaultTolerance,29
